repo,number,title,state,merged,created_at,relations,url,important,score,topics
erigontech/erigon,21532,rpc/jsonrpc: omit empty keys and order witness headers ascending,merged,True,2026-05-30,reviewed-by,https://github.com/erigontech/erigon/pull/21532,1,3,State / domains / commitment
erigontech/erigon,21528,db/state: fix Aggregator & ForkableAgg Close vs background MergeLoop WaitGroup race,merged,True,2026-05-30,reviewed-by,https://github.com/erigontech/erigon/pull/21528,1,2,State / domains / commitment; Snapshots / freezer / segments
erigontech/erigon,21527,db/state: log reorg-safe block and step in BuildFilesInBackground,merged,True,2026-05-30,reviewed-by,https://github.com/erigontech/erigon/pull/21527,1,4,State / domains / commitment; ETL / staged sync / pruning
erigontech/erigon,21525,batch call fcu along with InsertBlocks in block collector's flush,merged,True,2026-05-30,reviewed-by,https://github.com/erigontech/erigon/pull/21525,1,2,Storage engine (MDBX/LMDB); ETL / staged sync / pruning
erigontech/erigon,21520,perf: reduce workers amount ,merged,True,2026-05-30,author,https://github.com/erigontech/erigon/pull/21520,0,0,
erigontech/erigon,21518,rpc/jsonrpc: source executionWitness codes from pre-state reads,merged,True,2026-05-30,reviewed-by,https://github.com/erigontech/erigon/pull/21518,1,4,State / domains / commitment
erigontech/erigon,21516,"common/dbg, execution: PERF_PROFILES env knob + pprof labels for parallel exec phases",merged,True,2026-05-29,reviewed-by,https://github.com/erigontech/erigon/pull/21516,0,1,ETL / staged sync / pruning
erigontech/erigon,21502,"[r3.4] execution/p2p, execution/engineapi: fail-fast NewPayload backward download when gap exceeds limit",merged,True,2026-05-29,reviewed-by,https://github.com/erigontech/erigon/pull/21502,0,0,
erigontech/erigon,21500,docs(fundamentals): add Architecture and Database pages [main],merged,True,2026-05-28,reviewed-by,https://github.com/erigontech/erigon/pull/21500,0,1,Storage engine (MDBX/LMDB)
erigontech/erigon,21496,docs: prose audit — tradenames + code-fence types + Prune Modes rename [main],merged,True,2026-05-28,reviewed-by,https://github.com/erigontech/erigon/pull/21496,0,1,ETL / staged sync / pruning
erigontech/erigon,21486,"execution: slim unit test for DeriveSha with >16MB receipt, drop LFS",merged,True,2026-05-28,reviewed-by,https://github.com/erigontech/erigon/pull/21486,0,0,
erigontech/erigon,21484,rpc/jsonrpc: filter redundant collapse-sibling nodes from debug_executionWitness,closed,False,2026-05-28,reviewed-by,https://github.com/erigontech/erigon/pull/21484,1,3,State / domains / commitment
erigontech/erigon,21482,experiment: merge on own `mmap` with `madv_sequential`,merged,True,2026-05-28,author,https://github.com/erigontech/erigon/pull/21482,1,4,Storage engine (MDBX/LMDB); Snapshots / freezer / segments
erigontech/erigon,21475,genesis: faster `-race` of big genesis. step2,merged,True,2026-05-28,author,https://github.com/erigontech/erigon/pull/21475,0,0,
erigontech/erigon,21473,faster genesis under `-race` ,merged,True,2026-05-28,author,https://github.com/erigontech/erigon/pull/21473,0,0,
erigontech/erigon,21471,common/dbg: improve heap profile log output,merged,True,2026-05-28,author,https://github.com/erigontech/erigon/pull/21471,0,0,
erigontech/erigon,21470,genesis: allow tests pass GenesisConfig to `eth.New()` - avoid double read of large genesis,open,False,2026-05-28,author,https://github.com/erigontech/erigon/pull/21470,0,0,
erigontech/erigon,21469,common/dbg: improve heap profile log output,merged,True,2026-05-28,author,https://github.com/erigontech/erigon/pull/21469,0,0,
erigontech/erigon,21468,bloatnet: auto-nuke StateCache on low hit_rate,merged,True,2026-05-28,author,https://github.com/erigontech/erigon/pull/21468,0,1,State / domains / commitment
erigontech/erigon,21467,grwoslice: use `slices.Grow` instead of hand-rolled grow funcs,merged,True,2026-05-28,author,https://github.com/erigontech/erigon/pull/21467,0,0,
erigontech/erigon,21466,exec: `avg mgas/s` robust calculation,merged,True,2026-05-28,author,https://github.com/erigontech/erigon/pull/21466,0,0,
erigontech/erigon,21452,"db/state, db/config3: erigondb.toml as source of truth for commitment branch referencing",open,False,2026-05-27,reviewed-by,https://github.com/erigontech/erigon/pull/21452,1,5,Isolation & transactions; State / domains / commitment
